Measure ID,DATA ELEMENT NAME,"CODING SYSTEM",CODE,MODIFIER,"PLACE OF SERVICE",AGE,GENDER
1,DX_CODE,I10,E13.3219,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3291,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3292,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3293,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3299,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3311,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3312,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3313,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3319,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3391,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3392,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3393,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3399,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3411,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3412,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3413,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3419,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3491,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3492,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3493,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3499,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3511,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3512,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3513,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3519,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3521,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3522,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3523,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3529,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3531,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3532,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3533,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3539,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3541,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3542,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3543,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3549,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3551,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3552,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3553,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3559,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3591,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3592,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3593,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.3599,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.36,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X1,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X2,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X3,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.37X9,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.39,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.40,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.41,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.42,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.43,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.44,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.49,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.51,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.52,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.59,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.610,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.618,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.620,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.621,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.622,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.628,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.630,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.638,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.641,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.649,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.65,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.69,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.8,,,18 - 75,"M, F"
1,DX_CODE,I10,E13.9,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.011,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.012,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.013,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.019,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.02,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.03,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.111,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.112,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.113,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.119,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.12,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.13,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.311,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.312,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.313,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.319,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.32,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.33,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.811,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.812,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.813,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.819,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.82,,,18 - 75,"M, F"
1,DX_CODE,I10,O24.83,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,97802,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,97803,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,97804,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99202,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99203,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99204,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99205,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99212,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99213,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99214,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99215,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99341,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99342,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99344,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99345,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99347,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99348,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99349,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99350,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99385,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99386,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99387,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99395,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99396,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,C4,99397,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,HCPCS,G0270,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,HCPCS,G0271,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,HCPCS,G0438,,,18 - 75,"M, F"
1,ENCOUNTER_CODE,HCPCS,G0439,,,18 - 75,"M, F"
1,G_CODE_PD,HCPCS,M1211,,,18 - 75,"M, F"
1,G_CODE_PD,HCPCS,M1212,,,18 - 75,"M, F"
1,G_CODE_PD_Exl,HCPCS,G2081,,,≥66,"M, F"
1,G_CODE_PD_Exl,HCPCS,G2090,,,≥66,"M, F"
1,G_CODE_PD_Exl,HCPCS,G2091,,,≥66,"M, F"
1,G_CODE_PD_Exl,HCPCS,G9687,,,18 - 75,"M, F"
1,G_CODE_PD_Exl,HCPCS,G9988,,,18 - 75,"M, F"
1,G_CODE_PN,HCPCS,M1211,,,18 - 75,"M, F"
1,G_CODE_PN,HCPCS,M1212,,,18 - 75,"M, F"
24,CPT_II_PD_1,CPT_II,5015F,8P,,≥50,"M, F"
24,CPT_II_PD_1,CPT_II,5015F,,,≥50,"M, F"
24,CPT_II_PN_1,CPT_II,5015F,,,≥50,"M, F"
24,CPT_II_PN_X_1,CPT_II,5015F,8P,,≥50,"M, F"
24,DX_CODE_1,I10,M48.40XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.41XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.42XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.43XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.44XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.45XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.46XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.47XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M48.48XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.00XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.011A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.012A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.019A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.021A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.022A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.029A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.031A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.032A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.039A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.041A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.042A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.049A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.051A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.052A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.059A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.061A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.062A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.069A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.071A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.072A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.079A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.08XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0AXA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B1A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B1D,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B1G,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B1K,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B1P,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B1S,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B2A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B2D,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B2G,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B2K,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B2P,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B2S,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B9A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B9D,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B9G,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B9K,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B9P,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.0B9S,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.80XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.811A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.812A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.819A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.821A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.822A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.829A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.831A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.832A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.839A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.841A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.842A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.849A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.851A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.852A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.859A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.861A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.862A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.869A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.871A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.872A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.879A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.88XA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8AXA,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B1A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B1D,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B1G,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B1K,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B1P,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B1S,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B2A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B2D,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B2G,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B2K,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B2P,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B2S,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B9A,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B9D,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B9G,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B9K,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B9P,,,≥50,"M, F"
24,DX_CODE_1,I10,M80.8B9S,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.311A,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.312A,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.319A,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.321A,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.322A,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.329A,,,≥50,"M, F"
24,DX_CODE_1,I10,M84.331A,,,≥50,"M, F"
