"Measure ID","DATA ELEMENT NAME","CODING SYSTEM","CODE","MODIFIER","PLACE OF SERVICE",AGE,GENDER,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3533,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3539,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3541,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3542,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3543,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3549,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3551,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3552,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3553,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3559,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3591,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3592,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3593,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.3599,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.36,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.37X1,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.37X2,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
1,DX_CODE,I10,E10.37X3,,,18 - 75,"M, F",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
