Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
QCDR,Jaw Functional Status Scale (JFSS) Change,,,,FOTO8,FOTO QCDR,8311170,"This is a patient-reported outcome performance measure (PRO-PM) consisting of a patient-reported outcome measure (PROM) of risk-adjusted functional status (FS) change in jaw functional status for patients aged 14+ with impairments related to jaw function. The change in FS is assessed using the FOTO Jaw Functional Status Scale (JFSS), an item-response theory (IRT)-based PROM derived from 13 of the 20 items of the Jaw Functional Limitation Scale (JFLS).1, 2 The JFLS is a condition-specific PROM for functional limitations in the masticatory system.3 The 13-item FOTO JFSS is scored using the T-score metric (mean=50, SD=10), with higher scores representing higher functional status. The JFSS PROM can be administered using either computerized adaptive test (CAT)4 or a 6-item short form. 

In order to fairly measure performance between providers, this quality measure is risk-adjusted to patient characteristics known to be associated with FS outcomes and used as a performance measure at the patient and provider levels to assess quality.
",Patient-Reported Outcome-Based Performance Measure,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,Y
QCDR,Medication for Alcohol Use Disorder (MAUD) for Patients with Alcohol Use Disorder,,,,HCPR32,H-CPR (Hospitalist -Clinical Performance Registry),"8483899, 1718371, 4757099",Percentage of patients diagnosed with Alcohol Use Disorder who were prescribed a Medication for Alcohol Use Disorder (MAUD),Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Dihydropyrimidine Dehydrogenase (DPD) Deficiency Testing Prior to Fluoropyrimidine Treatment,,,,OQH1,The Oncology Quality Hub,2755787,Percentage of patients receiving fluoropyrimidine treatment who were tested for dihydropyrimidine dehydrogenase (DPD) deficiency prior to the initial initiation of treatment,Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,PIMSH1,Practice Insights by McKesson in Collaboration with The US Oncology Network - QCDR,,,,,,,,,,,,,,,,,
QCDR,P16 Immunohistochemistry (IHC) Staining Status in Oropharyngeal Squamous Cell Carcinoma (OPSCC),,,,QMM35,MSN Healthcare Solutions QCDR II,7418330,Percentage of final FNA or biopsy reports for patients with an initial diagnosis of primary oropharyngeal squamous cell carcinoma (OPSCC) that contain the results of P16 immunohistochemistry (IHC) staining.,Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,P53 Immunohistochemistry (IHC) Staining Status in Endometrial Carcinoma,,,,QMM36,MSN Healthcare Solutions QCDR II,7418330,"Percentage of final pathology reports for endometrial biopsy, dilation and curettage (D&C) material, or hysterectomy specimen with an initial diagnosis of primary endometrial carcinoma that contain the results of P53 immunohistochemistry (IHC) staining.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Hepatocellular Carcinoma (HCC) Screening Recommendation for Patients with Cirrhosis of the Liver,,,,QMM37,"MSN Healthcare Solutions, LLC",6394618,"Percentage of patients, aged 18 years and older, with cirrhosis of the liver, regardless of etiology, who undergo CT/CTA of the abdomen or abdomen/pelvis, MRI of the abdomen, or abdominal US in which the final report:
Mentions that patients with cirrhosis of the liver have a higher risk of developing hepatocellular carcinoma (HCC), 
AND
Includes a recommendation to consider the patient for semi-annual hepatocellular carcinoma (HCC) screening/surveillance.",Process,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,USWR22,"U.S. Wound Registry in Collaboration with Intellicure, LLC","6853338, 1718371",,,,,,,,,,,,,,,,
QCDR,Treatment of Symptoms of Autonomic Dysfunction for Patients with Parkinson's Disease,,,,VHE1,Verana Health - Evolve Registry,2371980,Percentage of all patients with a diagnosis of Parkinson's Disease who experienced symptoms of autonomic dysfunction during the measurement period and were provided follow-up care,Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Cluster Headache: Preventive Treatment Prescribed,,,,VHE2,Verana Health - Evolve Registry,2371980,"Percentage of patients greater than or equal to 18 years of age with a diagnosis of  cluster headache (CH) who were prescribed or documented as receiving a short-term and/or long-term preventive treatment, including treatments prescribed or managed by a different clinician.",Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Appropriate Physical Activity Counseling for patients with Neurological Conditions,,,,VHE3,Verana Health - Evolve Registry,2371980,Percentage of patients with Multiple Sclerosis and Parkinson's disease who benefit from physical activity who are counseled on the benefits of the physical activity in the past 12 months.,Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Acute Migraine Attacks: Recommended Treatment,,,,VHE4,Verana Health - Evolve Registry,2371980,Percentage of patients age 6 years and older with a diagnosis of migraine who were prescribed a guideline recommended or FDA approved/cleared treatment for acute migraine attacks within the measurement period.,Process,N,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Reduction of Polyneuropathy-Related Pain,,,,VHE5,Verana Health - Evolve Registry,2371980,Percentage of patients 18 years and older diagnosed with polyneuropathy whose pain score at 12 months (+/- 60 days) was improved from the index score.,Patient-Reported Outcome-Based Performance Measure,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,Documentation of Seizure Frequency,,,,VHE6,Verana Health - Evolve Registry,2371980,Percentage of patients with epilepsy who had seizure frequency documented at each visit.,Patient-Reported Outcome-Based Performance Measure,Y,2026,,QCDR,,N,singlePerformanceRate,,,,,,,N
QCDR,,,,,ACEP54,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACQR16,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AJRR14,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AQI75,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AQI76,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AQI77,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AQI78,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AVBC1,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,EACCR1,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,EACCR2,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,EACCR3,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,EPREOP30,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,HCPR20,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,PIMSH15,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,UREQA2,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AAD17,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AAD18,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AAO38,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ABG42,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACEP48,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACEP56,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACEP66,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACR16,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD15,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD16,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD17,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD18,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD19,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD25,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD41,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ACRAD43,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,AQI48,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),,,,,,,,,,,,,,,,,
QCDR,,,,,AQI65,Anesthesia Quality Institute (AQI) National Anesthesia Clinical Outcomes Registry (NACOR) in Collaboration with American Society of Anesthesiologists (ASA),"6169123, 5551268, 6775913, 9181695, 7418330",,,,,,,,,,,,,,,,
QCDR,,,,,CAP22,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,CAP38,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,CAP41,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ECPR50,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,HCPR23,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,IRIS35,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MBHR13,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MBHR14,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MBHR15,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MBHR16,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MBHR18,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MBHR8,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MSN13,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,MSN15,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,PQRANES3,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,PQRANES4,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,QMM16,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,QMM19,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,QMM24,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,QMM31,,,,,,,2026,,,,,,,,,,,
QCDR,,,,,ABG44,,"5551268, 6169123, 6775913, 9181695, 7418330",,,,,,,,,,,,,,,,
QCDR,,,,,ABG45,,"5551268, 6169123, 6775913, 9181695",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP22,,5133825,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP50,,5133825,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP51,,5133825,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP52,,"5133825, 1718371",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP60,,"5133825, 1718371",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP61,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACEP62,,5133825,,,,,,,,,,,,,,,,
QCDR,,,,,ACEP63,,"5133825, 1725296",,,,,,,,,,,,,,,,
QCDR,,,,,ACR12,,5598408,,,,,,,,,,,,,,,,
QCDR,,,,,ACR14,,5598408,"The percentage of patients aged 18 and older with at least one clinician encounter (including telehealth) during the measurement period and an active diagnosis of gout treated with urate-lowering therapy (ULT) for at least 12 months, whose most recent serum urate result is less than 6.0 mg/dL.",,,,,,,,,,,,,,,
