Category ,Measure Title,CMS eCQM ID,eCQM NQF,NQF,*** Quality Number (#) / QCDR #,Primary Measure Steward,Allowed QCDR Vendor ID,Measure Description,*** Measure Type  ,High Priority,First Performance Year,Year Removed,*** Collection Type(s) for Submission,Specialty Measure Sets,*** Inverse,*** Metric Type,*** Calculation Type,Collection Type(s) where Historic Benchmark Removed,Collection Type(s) where Suppressed,Collection Type(s) where Truncated,*** Collection Type(s) where 7-point Cap Removed,Collection Type(s) where Historic Benchmark Removed ** Special Rules **,Is Risk Adjusted 
Quality,,,,,249,,,,,,,,,,,,,,,,"Part B Claims, MIPS CQM",,
Quality,,,,,250,,,,,,,,,,,,,,,,"Part B Claims, MIPS CQM",,
Quality,,,,,320,,,,,,,,,,,,,,,,Part B Claims,,
Quality,,,,,350,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,351,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,360,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,364,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,395,,,,,,,,,,,,,,,,"Part B Claims, MIPS CQM",,
Quality,,,,,396,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,397,,,,,,,,,,,,,,,,"Part B Claims, MIPS CQM",,
Quality,,,,,405,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,406,,,,,,,,,,,,,,,,"Part B Claims, MIPS CQM",,
Quality,,,,,430,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,440,,,,,,,,,,,,,,,,MIPS CQM,,
Quality,,,,,463,,,,,,,,,,,,,,,,MIPS CQM,,
